#Datasets	EXB037.A3001.unmapped	EXB037.A3201.unmapped	EXB037.A3401.unmapped	LIB030.A0115.unmapped	EXB037.A3101.unmapped	LIB027.A0136.unmapped	LIB030.A0112.unmapped	LIB030.A0113.unmapped	LIB030.A0114.unmapped	EXB037.A2901.unmapped	EXB037.A3301.unmapped
"Micrococcus"	1274.0	2842.0	428.0	248.0	4838.0	0.0	165.0	21.0	104.0	190.0	755.0
"Nesterenkonia"	0.0	114.0	0.0	0.0	295.0	0.0	0.0	0.0	0.0	0.0	0.0
"Paenarthrobacter"	44.0	0.0	0.0	85.0	110.0	0.0	82.0	9.0	0.0	54.0	136.0
"Pseudarthrobacter"	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Rothia"	233.0	68.0	44.0	42.0	683.0	0.0	145.0	17.0	25.0	101.0	444.0
"Sinomonas"	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Cellulosimicrobium"	0.0	47.0	0.0	0.0	128.0	0.0	0.0	0.0	0.0	0.0	0.0
"Promicromonospora"	0.0	19.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Xylanimonas"	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Sanguibacter"	170.0	89.0	11.0	30.0	201.0	0.0	45.0	8.0	0.0	0.0	0.0
"Actinoplanes"	62.0	72.0	18.0	128.0	340.0	0.0	82.0	17.0	23.0	31.0	186.0
"Longispora"	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Micromonospora"	127.0	183.0	64.0	222.0	1786.0	0.0	159.0	50.0	217.0	137.0	237.0
"Plantactinospora"	524.0	681.0	465.0	682.0	1155.0	0.0	941.0	464.0	1815.0	752.0	639.0
"Pseudosporangium"	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0
"Salinispora"	0.0	20.0	0.0	40.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0
"Nakamurella"	0.0	0.0	15.0	29.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0
"Actinopolymorpha"	0.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Aeromicrobium"	47.0	97.0	29.0	63.0	438.0	0.0	47.0	10.0	24.0	0.0	66.0
"Friedmanniella"	0.0	80.0	12.0	48.0	182.0	0.0	86.0	11.0	21.0	0.0	122.0
"Kribbella"	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Marmoricola"	102.0	138.0	33.0	76.0	680.0	0.0	165.0	0.0	32.0	46.0	183.0
"Nocardioides"	479.0	955.0	279.0	348.0	3081.0	0.0	471.0	50.0	69.0	174.0	803.0
"Pimelobacter"	0.0	22.0	0.0	39.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0
"Cutibacterium"	5582.0	1666.0	2447.0	532.0	21041.0	0.0	1110.0	271.0	563.0	5310.0	6592.0
"Microlunatus"	0.0	0.0	13.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0
