Species	otago	okla	jena
Streptomyces sp. MBT76	1	1	1
Streptomyces sp. Mg1		1	1
Streptomyces sp. MP131-18	1	1	1
Streptomyces sp. NBRC 110611	1	1	1
Streptomyces sp. NBS 14/10	1	1	1
Streptomyces sp. NEAU	1	1	1
Streptomyces sp. NRRL F-6676	1	1	1
Streptomyces sp. NRRL S-118	1	1	1
Streptomyces sp. PsTaAH-137	1	1	1
Streptomyces sp. RTd22	1	1	1
Streptomyces sp. RV15	1	1	1
Streptomyces sp. SA15	1	1	1
Streptomyces sp. SBT349	1	1	1
Streptomyces sp. SM1	1	1	1
Streptomyces sp. SPB074		1	1
Streptomyces sp. TLI_053	1	1	1
Streptomyces sp. TP-A0874	1	1	1
Streptomyces sp. TP-A0875	1	1	1
Streptomyces sp. TSRI0281	1	1	1
Streptomyces sp. URHA0041	1	1	1
Streptomyces sp. WM6386		1	
Streptomyces specialis	1	1	1
Streptomyces spongiicola	1	1	1
Streptomyces sulphureus	1	1	1
Streptomyces tateyamensis	1	1	1
Streptomyces thermoautotrophicus	1	1	1
Streptomyces turgidiscabies	1	1	1
Streptomyces venezuelae	1	1	1
Streptomyces vietnamensis	1	1	
Streptomyces violaceusniger	1	1	1
Streptomyces viridochromogenes	1	1	1
Streptomyces viridosporus	1	1	1
Streptomyces vitaminophilus	1	1	1
Streptomyces wuyuanensis	1	1	1
Streptomyces xanthophaeus	1	1	1
Streptomyces xiamenensis	1	1	1
Streptomyces xinghaiensis	1	1	1
Streptomyces yanglinensis	1	1	1
Streptomyces yangpuensis		1	
Streptosporangium canum	1	1	1
Streptosporangium roseum	1	1	1
Streptosporangium subroseum	1	1	1
Sulfuricaulis limicola	1	1	1
Sulfuricella denitrificans	1	1	1
Sulfuricella sp. T08	1	1	1
Sulfuriferula sp. AH1	1	1	1
Sulfurifustis variabilis	1	1	1
Sulfurisoma sediminicola	1	1	1
Sulfuritalea hydrogenivorans	1	1	1
Sutterella parvirubra	1	1	1
Symbiobacterium thermophilum	1	1	1
Synechococcus sp. BO 8801	1	1	1
Synechococcus sp. WH 5701	1	1	1
Syntrophobacter fumaroxidans	1	1	1
Syntrophus gentianae	1	1	1
Taibaiella chishuiensis	1	1	1
Tamilnaduibacter salinus	1	1	1
Tardibacter chloracetimidivorans	1	1	1
Tardiphaga sp. OK245			1
Telmatospirillum siberiense	1	1	1
Tepidimonas taiwanensis	1	1	1
Tepidiphilus margaritifer	1	1	1
Tepidiphilus thermophilus	1	1	1
Teredinibacter turnerae	1	1	1
Terrabacter sp. Soil810	1	1	1
Terracidiphilus gabretensis	1	1	1
Terriglobus roseus	1	1	1
Terriglobus saanensis	1	1	1
Terrimonas ferruginea	1	1	1
Tessaracoccus flavus	1	1	1
Tessaracoccus sp. T2.5-30	1	1	1
Tetrasphaera australiensis	1	1	1
Tetrasphaera elongata		1	1
Tetrasphaera japonica	1	1	1
Tetrasphaera sp. Soil756	1	1	1
Thalassobaculum litoreum	1	1	1
Thalassobaculum salexigens	1	1	1
Thauera aromatica	1	1	1
Thauera chlorobenzoica	1	1	1
Thauera humireducens	1	1	1
Thauera linaloolentis	1	1	1
Thauera sp. K11	1	1	1
Thauera sp. MZ1T	1	1	1
Thaumarchaeota archaeon SCGC AC-337_F14	1	1	1
Thermacetogenium phaeum	1	1	1
Thermaerobacter marianensis	1	1	1
Thermaerobacter subterraneus	1	1	1
Thermithiobacillus tepidarius	1	1	1
Thermoactinospora rubra	1	1	1
Thermoanaerobaculum aquaticum	1	1	1
Thermobacillus composti	1	1	1
Thermobifida cellulosilytica	1	1	1
Thermobifida fusca	1	1	1
Thermobifida halotolerans	1	1	1
Thermobispora bispora	1	1	1
Thermocrispum agreste	1	1	1
Thermocrispum municipale	1	1	1
Thermoflexus hugenholtzii	1	1	1
Thermogutta terrifontis	1	1	1
Thermoleophilum album	1	1	1
Thermomicrobium roseum	1	1	1
Thermomonas fusca	1	1	1
Thermomonas haemolytica	1	1	1
Thermomonas hydrothermalis	1	1	1
Thermomonospora curvata	1	1	1
Thermopetrobacter sp. TC1	1	1	1
Thermus aquaticus	1	1	1
Thermus brockianus		1	1
Thermus islandicus	1	1	1
Thermus oshimai	1	1	1
Thermus scotoductus			1
Thermus sp. CCB_US3_UF1	1	1	1
Thermus thermophilus	1	1	1
Thioalbus denitrificans	1	1	1
Thioalkalivibrio denitrificans	1	1	1
Thioalkalivibrio nitratireducens	1	1	1
Thioalkalivibrio paradoxus	1	1	1
Thioalkalivibrio sp. AKL11	1	1	1
Thioalkalivibrio sp. ALJ1	1	1	1
Thioalkalivibrio sp. ALJ16	1	1	1
Thioalkalivibrio sp. ALJ24	1	1	1
Thioalkalivibrio sp. ALJ6	1	1	1
Thioalkalivibrio sp. ALJT	1	1	1
Thioalkalivibrio sp. ALMg11	1	1	1
Thioalkalivibrio sp. ALSr1	1	1	1
Thioalkalivibrio sulfidiphilus	1	1	1
Thioalkalivibrio thiocyanodenitrificans	1	1	1
Thiobacillus denitrificans	1	1	1
Thiobacillus thioparus	1	1	1
Thiocapsa sp. KS1	1	1	1
Thiocystis violascens	1	1	1
Thioflavicoccus mobilis	1	1	1
Thiohalobacter thiocyanaticus	1	1	1
Thiohalomonas denitrificans	1	1	1
Thiohalospira halophila	1	1	1
Thiolapillus brandeum	1	1	1
Thiomonas bhubaneswarensis	1	1	1
Thiomonas delicata	1	1	1
Thiomonas intermedia	1	1	1
Thiomonas sp. FB-6	1	1	1
Thiomonas sp. X19	1	1	1
Thiorhodovibrio sp. 970	1	1	1
Thiothrix eikelboomii	1	1	1
Thiotrichales bacterium HS_08	1	1	1
Tistlia consotensis	1	1	1
Tistrella mobilis	1	1	1
Tolypothrix campylonemoides	1	1	1
Tranquillimonas alkanivorans	1	1	1
Treponema primitia		1	1
Trinickia caryophylli	1	1	1
Trinickia symbiotica	1	1	1
Truepera radiovictrix	1	1	1
Tsukamurella tyrosinosolvens	1	1	1
Tumebacillus avium	1	1	1
Umezawaea tangerina	1	1	1
Undibacterium pigrum		1	1
Variibacter gotjawalensis	1	1	1
Variovorax boronicumulans	1	1	1
Variovorax paradoxus	1	1	1
Variovorax sp. 770b2	1	1	1
Variovorax sp. CF079	1	1	1
Variovorax sp. EL159	1	1	1
Variovorax sp. HW608	1	1	1
Variovorax sp. OK605	1	1	1
Variovorax sp. PAMC 28711	1	1	1
Variovorax sp. PMC12			1
Variovorax sp. Root318D1	1	1	1
Variovorax sp. Root411	1	1	1
Variovorax sp. Root434	1	1	1
Variovorax sp. Root473	1	1	1
Variovorax sp. URHB0020	1	1	1
Variovorax sp. WDL1	1	1	1
Variovorax sp. YR266	1	1	1
Variovorax sp. YR750	1	1	1
Veillonella dispar		1	1
Veillonella parvula		1	
Verminephrobacter eiseniae	1	1	1
Verrucomicrobia bacterium	1	1	1
Verrucomicrobia bacterium IMCC26134	1	1	1
Verrucomicrobium sp. GAS474	1	1	1
Verrucomicrobium spinosum	1	1	1
Verrucosispora maris	1	1	1
Verrucosispora sediminis	1	1	1
Vibrio agarivorans	1	1	1
Vibrio campbellii	1	1	1
Vibrio cyclitrophicus		1	1
Vibrio fortis		1	1
Vibrio metoecus		1	1
Vibrio owensii	1	1	1
Vibrio parahaemolyticus		1	1
Vibrio rotiferianus		1	1
Vibrio sp. S234-5		1	1
Vibrio vulnificus		1	1
Victivallales bacterium CCUG 44730	1	1	1
Victivallis vadensis	1	1	1
Vitreoscilla filiformis		1	
Vogesella indigofera	1	1	1
Vogesella sp. LIG4	1	1	1
Vulgatibacter incomptus	1	1	1
Weissella viridescens		1	1
Wenxinia marina	1	1	1
Wenzhouxiangella marina	1	1	1
Williamsia marianensis		1	1
Woeseia oceani	1	1	1
Xanthobacter autotrophicus	1	1	1
Xanthomonadaceae bacterium	1	1	1
Xanthomonas albilineans	1	1	1
Xanthomonas arboricola	1	1	1
Xanthomonas campestris	1	1	1
Xanthomonas cassavae	1	1	1
Xanthomonas citri	1	1	1
Xanthomonas cucurbitae	1	1	1
Xanthomonas fragariae	1	1	1
Xanthomonas hortorum	1	1	1
Xanthomonas oryzae	1	1	1
Xanthomonas phaseoli	1	1	1
Xanthomonas sacchari	1	1	1
Xanthomonas sp. Mitacek01	1	1	1
Xanthomonas translucens	1	1	1
Xanthomonas vasicola	1	1	1
Xenophilus azovorans	1	1	1
Xiangella phaseoli	1	1	1
Xylanimonas cellulosilytica		1	1
Xylophilus ampelinus	1	1	1
Xylophilus sp. Leaf220	1	1	1
Yangia pacifica	1	1	1
Yersinia wautersii			1
Yuhushiella deserti	1	1	1
Zavarzinella formosa	1	1	1
Zobellella denitrificans	1	1	1
