Species
Mesorhizobium sp. WSM3224
Mesorhizobium sp. WSM3626
Metallibacterium scheffleri
Methanosaeta harundinacea
Methylibium petroleiphilum
Methylibium sp. CF059
Methylibium sp. CF468
Methylibium sp. YR605
Methylobacter luteus
Methylobacter tundripaludum
Methylobacterium aquaticum
Methylobacterium brachiatum
Methylobacterium currus
Methylobacterium gossipiicola
Methylobacterium nodulans
Methylobacterium phyllostachyos
Methylobacterium platani
Methylobacterium pseudosasicola
Methylobacterium radiotolerans
Methylobacterium sp. 174MFSha1.1
Methylobacterium sp. 4-46
Methylobacterium sp. 77
Methylobacterium sp. ap11
Methylobacterium sp. B4
Methylobacterium sp. DM1
Methylobacterium sp. Leaf117
Methylobacterium sp. Leaf125
Methylobacterium sp. Leaf399
Methylobacterium sp. Leaf86
Methylobacterium sp. Leaf99
Methylobacterium sp. WSM2598
Methylocaldum marinum
Methylocaldum szegediense
Methylocapsa acidiphila
Methylocapsa aurea
Methyloceanibacter caenitepidi
Methylocella silvestris
Methylococcus capsulatus
Methylocystis bryophila
Methylocystis sp. ATCC 49242
Methylocystis sp. SC2
Methylomicrobium album
Methylomonas sp. LWB
Methylophaga nitratireducenticrescens
Methylophilales bacterium LSUCC0135
Methylorubrum extorquens
Methylorubrum populi
Methylosarcina fibrata
Methylosinus sp. LW3
Methylosinus sp. LW4
Methylosinus trichosporium
Methylotenera mobilis
Methylotenera versatilis
Methyloversatilis discipulorum
Methyloversatilis sp. RAC08
Methyloversatilis thermotolerans
Methyloversatilis universalis
Methylovirgula ligni
Methylovulum miyakonense
Microbacterium sp. No. 7
Microbacterium sp. oral taxon 186
Microbispora rosea
Microbispora sp. ATCC PTA-5024
Microbispora sp. GMKU363
Microbulbifer donghaiensis
Microbulbifer marinus
Microbulbifer thermotolerans
Microbulbifer yueqingensis
Micrococcus luteus
Microcystis aeruginosa
Microlunatus phosphovorus
Microlunatus soli
Micromonospora auratinigra
Micromonospora carbonacea
Micromonospora chaiyaphumensis
Micromonospora coriariae
Micromonospora coxensis
Micromonospora echinaurantiaca
Micromonospora echinofusca
Micromonospora echinospora
Micromonospora endolithica
Micromonospora haikouensis
Micromonospora halophytica
Micromonospora humi
Micromonospora inositola
Micromonospora krabiensis
Micromonospora matsumotoense
Micromonospora narathiwatensis
Micromonospora purpureochromogenes
Micromonospora siamensis
Micromonospora sp. ATCC 39149
Micromonospora sp. CB01531
Micromonospora sp. HK10
Micromonospora sp. WMMA2032
Micromonospora tulbaghiae
Micromonospora viridifaciens
