Library_ID	Mapped	Non_mapped	Assigned	Non_Assigned
KT10calc	1744195	2986618	1744195	2986618
KT11calc	2271680	2114370	2271680	2114370
KT12calc	1742034	1971297	1742034	1971297
KT13calc	1860180	2226452	1860180	2226452
KT14calc	2875346	1851549	2875346	1851549
KT15calc	3210627	4261008	3210627	4261008
KT16calc	1957745	1925745	1957745	1925745
KT17calc	1615047	1970109	1615047	1970109
KT18calc	2223131	3418873	2223131	3418873
KT19calc	4377023	2565402	4377023	2565402
KT20calc	3392112	3876302	3392112	3876302
KT21calc	1895860	1958550	1895860	1958550
KT22calc	2710911	1780945	2710911	1780945
KT23calc	3554736	3057737	3554736	3057737
KT24calc	2703635	3661398	2703635	3661398
KT25calc	1999031	3410214	1999031	3410214
KT26calc	2596701	3125650	2596701	3125650
KT27calc	1800960	2320988	1800960	2320988
KT28calc	1829278	3327889	1829278	3327889
KT29calc	3303156	2713498	3303156	2713498
KT30calc	2076125	2783143	2076125	2783143
KT31calc	4964432	4313692	4964432	4313692
KT32calc	2765963	2573835	2765963	2573835
KT33calc	3359457	3248390	3359457	3248390
KT34calc	2796542	3051876	2796542	3051876
KT35calc	1873771	2388357	1873771	2388357
KT36calc	2026607	3343210	2026607	3343210
